,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,race/ethnicity_map,parental lvl of education_map,lunch_map,test preparation course_map,gender_map,total_score,pass/fail,percentage,grade,math_passfail,reading_passfail,writing_passfail,pass/fail_map,grade_map
0,female,group B,bachelor's degree,standard,none,72,72,74,2,1,1,1,1,218,Pass,72.66666666666667,First,1,1,1,1,2
1,female,group C,some college,standard,completed,69,90,88,3,2,1,2,1,247,Pass,82.33333333333334,Distinction,1,1,1,1,1
2,female,group B,master's degree,standard,none,90,95,93,2,3,1,1,1,278,Pass,92.66666666666666,Distinction,1,1,1,1,1
3,male,group A,associate's degree,free/reduced,none,47,57,44,1,4,2,1,2,148,Pass,49.333333333333336,Second,1,1,1,1,3
4,male,group C,some college,standard,none,76,78,75,3,2,1,1,2,229,Pass,76.33333333333333,First,1,1,1,1,2
5,female,group B,associate's degree,standard,none,71,83,78,2,4,1,1,1,232,Pass,77.33333333333333,First,1,1,1,1,2
6,female,group B,some college,standard,completed,88,95,92,2,2,1,2,1,275,Pass,91.66666666666666,Distinction,1,1,1,1,1
7,male,group B,some college,free/reduced,none,40,43,39,2,2,2,1,2,122,Fail,40.666666666666664,Fail,1,1,0,0,0
8,male,group D,high school,free/reduced,completed,64,64,67,4,5,2,2,2,195,Pass,65.0,First,1,1,1,1,2
9,female,group B,high school,free/reduced,none,38,60,50,2,5,2,1,1,148,Fail,49.333333333333336,Fail,0,1,1,0,0
10,male,group C,associate's degree,standard,none,58,54,52,3,4,1,1,2,164,Pass,54.666666666666664,Second,1,1,1,1,3
11,male,group D,associate's degree,standard,none,40,52,43,4,4,1,1,2,135,Pass,45.0,Second,1,1,1,1,3
12,female,group B,high school,standard,none,65,81,73,2,5,1,1,1,219,Pass,73.0,First,1,1,1,1,2
13,male,group A,some college,standard,completed,78,72,70,1,2,1,2,2,220,Pass,73.33333333333333,First,1,1,1,1,2
